id,type,URL,rgb_color
36,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/2700d00f_2b63_4ad7_bd13_a3be0106fdd4/mid_00442845_001.jpg,"rgb(64, 64, 64): 0.16; rgb(96, 96, 96): 0.13; rgb(128, 128, 128): 0.13; rgb(64, 64, 96): 0.12; rgb(64, 96, 96): 0.12; rgb(32, 64, 64): 0.12; rgb(32, 32, 32): 0.11; rgb(32, 32, 64): 0.11"
37,bowl,https://media.britishmuseum.org/media/Repository/Documents/2019_5/22_15/65be57e3_96db_4efb_9f0e_aa5500fdb447/mid_IMG_7932.jpg,"rgb(96, 96, 96): 0.14; rgb(32, 32, 64): 0.13; rgb(128, 128, 128): 0.12; rgb(64, 64, 64): 0.11; rgb(32, 32, 32): 0.10; rgb(64, 64, 96): 0.09; rgb(160, 160, 160): 0.08; rgb(64, 96, 96): 0.08; rgb(0, 32, 32): 0.08; rgb(32, 64, 64): 0.07"
第四页,,,
38,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/8427ba34_5605_4046_a173_a3bb017aa6fa/mid_00387176_001.jpg,"rgb(32, 32, 64): 0.46; rgb(64, 64, 64): 0.31; rgb(32, 64, 64): 0.13; rgb(64, 64, 96): 0.11"
,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/7f037825_f7c2_4fed_9a04_a3bb017b30f2/mid_00387339_001.jpg,"rgb(96, 96, 96): 0.49; rgb(64, 96, 96): 0.32; rgb(64, 64, 64): 0.10; rgb(64, 64, 96): 0.09"
,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/4395309a_5046_45cf_9f9d_a3bb017b1088/mid_00387372_001.jpg,"rgb(64, 64, 96): 0.33; rgb(32, 32, 64): 0.24; rgb(96, 96, 128): 0.16; rgb(96, 96, 96): 0.14; rgb(128, 128, 128): 0.13"
,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/129a7e71_f8cb_4313_a920_a3bc00683cc0/mid_00389136_001.jpg,"rgb(0, 0, 0): 0.32; rgb(0, 0, 32): 0.31; rgb(192, 224, 224): 0.13; rgb(160, 192, 192): 0.12; rgb(128, 160, 192): 0.12"
,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f453342b_431e_40eb_948e_a3bc006c6641/mid_00390417_001.jpg,"rgb(32, 32, 32): 0.61; rgb(32, 32, 64): 0.23; rgb(0, 0, 32): 0.17"
,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/3e9b719a_53dc_4d73_b23c_a3bc0069c70f/mid_00389558_001.jpg,"rgb(32, 32, 32): 0.32; rgb(0, 0, 32): 0.31; rgb(0, 32, 32): 0.28; rgb(0, 0, 0): 0.09"
,brush-pot,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/8b27ec76_6882_4cc1_bff0_a3bc0069826a/mid_00389526_001.jpg,"rgb(128, 160, 160): 0.30; rgb(128, 128, 128): 0.26; rgb(64, 96, 128): 0.13; rgb(96, 128, 128): 0.11; rgb(128, 128, 160): 0.11; rgb(192, 192, 192): 0.10"
